idaluno,idturma,motivoinativacao,nomedisciplina,notafase,nomefase,idfasenota,numerofase,idade,corraca,sexo,datasituacaoativo,datasituacaoinativo,datahoraefetivacaomatricula,diasmatriculado,inativo
109,208,,PORTUGUÊS,7.5,MÉDIA DIAGNÓSTICA,265,5,19.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
96,208,,PORTUGUÊS,7.0,DIAGNOSTICA 1,260,1,19.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
311,207,,PORTUGUÊS,4.0,DIAGNOSTICA 1,248,1,16.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-21 00:00:00,344.0,False
32,286,,INGLÊS,10.0,MÉDIA ANUAL,282,6,19.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-27 00:00:00,307.0,False
327,177,,PORTUGUÊS,0.0,DIAGNOSTICA 1,236,1,15.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
312,190,,INGLÊS,0.0,DIAGNOSTICA 2,245,4,13.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
192,170,,MATEMÁTICA,0.0,DIAGNOSTICA 1,236,1,15.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
120,278,,INGLÊS,5.0,MÉDIA DIAGNÓSTICA,283,5,18.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-27 00:00:00,307.0,False
235,415,,MATEMÁTICA,2.5,MÉDIA DIAGNÓSTICA,241,5,13.0,R,F,2022-03-24 00:00:00,2022-12-31 00:00:00,2022-01-21 00:00:00,344.0,False
116,200,,MATEMÁTICA,0.0,DIAGNOSTICA 2,257,4,18.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
278,169,,MATEMÁTICA,4.0,MÉDIA ANUAL,240,6,14.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-03 00:00:00,331.0,False
96,208,,MATEMÁTICA,7.5,DIAGNOSTICA 2,263,4,19.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
240,194,,MATEMÁTICA,4.0,MÉDIA ANUAL,246,6,15.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-07-23 13:39:00,160.0,False
279,276,Falta de retorno as nossas tentativas de contato,INGLÊS,3.0,DIAGNOSTICA 1,278,1,17.0,R,M,2022-01-01 00:00:00,2022-08-31 19:01:00,2022-02-24 00:00:00,188.0,True
240,180,Conhecimento acima da fase atual,PORTUGUÊS,0.0,DIAGNOSTICA 1,236,1,15.0,R,M,2022-01-01 00:00:00,2022-07-23 19:04:00,2022-01-21 00:00:00,183.0,True
